,name,party,race_type,date,state,incumbent,incumbent_first_elected,pct,winner
284,james e leuenberger,o,senate,2014-11-04,OR,jeff merkley,2008,1.7,False
285,jack reed,d,senate,2014-11-04,RI,jack reed,1996,70.6,True
286,mark zaccaria,r,senate,2014-11-04,RI,jack reed,1996,29.2,False
287,lindsey graham,r,senate,2014-11-04,SC,lindsey graham,2002,54.3,False
288,brad hutto,d,senate,2014-11-04,SC,lindsey graham,2002,38.8,False
289,thomas ravenel,o,senate,2014-11-04,SC,lindsey graham,2002,3.8,False
290,victor kocher,o,senate,2014-11-04,SC,lindsey graham,2002,2.7,False
291,mike rounds,r,senate,2014-11-04,SD,tim johnson,1996,50.4,True
292,rick weiland,d,senate,2014-11-04,SD,tim johnson,1996,29.5,False
293,larry pressler,o,senate,2014-11-04,SD,tim johnson,1996,17.1,False
294,gordon howie,o,senate,2014-11-04,SD,tim johnson,1996,3.0,False
295,lamar alexander,r,senate,2014-11-04,TN,lamar alexander,2002,61.9,True
296,gordon ball,d,senate,2014-11-04,TN,lamar alexander,2002,31.8,False
297,joe b wilmoth,o,senate,2014-11-04,TN,lamar alexander,2002,2.6,False
298,martin pleasant,o,senate,2014-11-04,TN,lamar alexander,2002,0.9,False
299,tom emerson jr,o,senate,2014-11-04,TN,lamar alexander,2002,0.8,False
300,danny page,o,senate,2014-11-04,TN,lamar alexander,2002,0.6,False
301,rick tyler,o,senate,2014-11-04,TN,lamar alexander,2002,0.4,False
302,joshua james,o,senate,2014-11-04,TN,lamar alexander,2002,0.4,False
303,bartholomew j phillips,o,senate,2014-11-04,TN,lamar alexander,2002,0.2,False
304,edmund l gauthier,o,senate,2014-11-04,TN,lamar alexander,2002,0.2,False
305,eric schechter,o,senate,2014-11-04,TN,lamar alexander,2002,0.1,False
306,choudhury salekin,o,senate,2014-11-04,TN,lamar alexander,2002,0.1,False
307,john cornyn,r,senate,2014-11-04,TX,john cornyn,2002,61.6,True
308,david alameel,d,senate,2014-11-04,TX,john cornyn,2002,34.4,False
309,rebecca paddock,o,senate,2014-11-04,TX,john cornyn,2002,2.9,False
310,emily marie sanchez,o,senate,2014-11-04,TX,john cornyn,2002,1.2,False
311,mark warner,d,senate,2014-11-04,VA,mark warner,2008,49.1,True
312,ed gillespie,r,senate,2014-11-04,VA,mark warner,2008,48.3,False
313,robert sarvis,o,senate,2014-11-04,VA,mark warner,2008,2.4,False
314,shelley moore capito,r,senate,2014-11-04,WV,jay rockefeller,1984,62.1,True
315,natalie tennant,d,senate,2014-11-04,WV,jay rockefeller,1984,34.5,False
316,john s buckley,o,senate,2014-11-04,WV,jay rockefeller,1984,1.6,False
317,bob henry baber,o,senate,2014-11-04,WV,jay rockefeller,1984,1.2,False
318,phil hudok,o,senate,2014-11-04,WV,jay rockefeller,1984,0.6,False
319,mike enzi,r,senate,2014-11-04,WY,mike enzi,1996,71.2,True
320,charlie hardy,d,senate,2014-11-04,WY,mike enzi,1996,17.4,False
321,curt gottshall,o,senate,2014-11-04,WY,mike enzi,1996,7.9,False
322,joe porambo,o,senate,2014-11-04,WY,mike enzi,1996,2.2,False
323,jeff flake,r,senate,2012-11-06,AZ,jon kyl,1994,49.2,True
324,richard carmona,d,senate,2012-11-06,AZ,jon kyl,1994,46.1,False
325,marc victor,o,senate,2012-11-06,AZ,jon kyl,1994,4.6,False
326,dianne feinstein,d,senate,2012-11-06,CA,dianne feinstein,1992,62.5,True
327,elizabeth emken,r,senate,2012-11-06,CA,dianne feinstein,1992,37.5,False
328,chris murphy,d,senate,2012-11-06,CT,joe lieberman,1988,54.8,True
329,linda mcmahon,r,senate,2012-11-06,CT,joe lieberman,1988,43.1,False
330,paul passarelli,o,senate,2012-11-06,CT,joe lieberman,1988,1.7,False
331,tom carper,d,senate,2012-11-06,DE,tom carper,2000,66.4,True
332,kevin wade,r,senate,2012-11-06,DE,tom carper,2000,29.0,False
333,alex pires,o,senate,2012-11-06,DE,tom carper,2000,3.8,False
334,andrew groff,o,senate,2012-11-06,DE,tom carper,2000,0.8,False
335,bill nelson,d,senate,2012-11-06,FL,bill nelson,2000,55.2,True
336,connie mack iv,r,senate,2012-11-06,FL,bill nelson,2000,42.2,False
337,chris borgia,o,senate,2012-11-06,FL,bill nelson,2000,1.0,False
338,bill gaylor,o,senate,2012-11-06,FL,bill nelson,2000,1.5,False
339,mazie hirono,d,senate,2012-11-06,HI,daniel akaka,1990,62.6,True
340,linda lingle,r,senate,2012-11-06,HI,daniel akaka,1990,37.4,False
341,joe donnelly,d,senate,2012-11-06,IN,richard lugar,1976,50.0,True
342,richard mourdock,r,senate,2012-11-06,IN,richard lugar,1976,44.2,False
343,andrew horning,o,senate,2012-11-06,IN,richard lugar,1976,5.7,False
344,angus king,o,senate,2012-11-06,ME,olympia snowe,1994,52.9,True
345,charles e summers jr,r,senate,2012-11-06,ME,olympia snowe,1994,30.7,False
346,cynthia dill,d,senate,2012-11-06,ME,olympia snowe,1994,13.3,False
347,danny f dalton,o,senate,2012-11-06,ME,olympia snowe,1994,0.8,False
348,andrew ian dodge,o,senate,2012-11-06,ME,olympia snowe,1994,0.8,False
349,ben cardin,d,senate,2012-11-06,MD,ben cardin,2006,56.0,True
350,dan bongino,r,senate,2012-11-06,MD,ben cardin,2006,26.3,False
351,rob sobhani,o,senate,2012-11-06,MD,ben cardin,2006,16.4,False
352,dean ahmad,o,senate,2012-11-06,MD,ben cardin,2006,1.2,False
353,elizabeth warren,d,senate,2012-11-06,MA,scott brown,2010,53.7,True
354,scott brown,r,senate,2012-11-06,MA,scott brown,2010,46.3,False
355,debbie stabenow,d,senate,2012-11-06,MI,debbie stabenow,2000,58.8,True
356,pete hoekstra,r,senate,2012-11-06,MI,debbie stabenow,2000,38.0,False
357,scotty boman,o,senate,2012-11-06,MI,debbie stabenow,2000,1.8,False
358,harley mikkelson,r,senate,2012-11-06,MI,debbie stabenow,2000,0.6,False
359,richard matkin,o,senate,2012-11-06,MI,debbie stabenow,2000,0.6,False
360,amy klobuchar,d,senate,2012-11-06,MN,amy klobuchar,2006,65.2,True
361,kurt bills,r,senate,2012-11-06,MN,amy klobuchar,2006,30.6,False
362,stephen williams,o,senate,2012-11-06,MN,amy klobuchar,2006,2.6,False
363,tim davis,o,senate,2012-11-06,MN,amy klobuchar,2006,1.1,False
364,roger wicker,r,senate,2012-11-06,MS,roger wicker,2007,57.2,True
365,albert n gore jr,d,senate,2012-11-06,MS,roger wicker,2007,40.6,False
366,shawn ohara,o,senate,2012-11-06,MS,roger wicker,2007,1,False
367,claire mccaskill,d,senate,2012-11-06,MO,claire mccaskill,2006,54.8,False
368,todd akin,r,senate,2012-11-06,MO,claire mccaskill,2006,39.0,False
369,jonathan dine,o,senate,2012-11-06,MO,claire mccaskill,2006,6.1,True
370,jon tester,d,senate,2012-11-06,MT,jon tester,2006,48.6,False
371,denny rehberg,r,senate,2012-11-06,MT,jon tester,2006,44.9,False
372,dan cox,o,senate,2012-11-06,MT,jon tester,2006,6.6,True
373,deb fischer,r,senate,2012-11-06,NE,ben nelson,2000,57.8,True
374,bob kerrey,d,senate,2012-11-06,NE,ben nelson,2000,42.2,False
375,dean heller,r,senate,2012-11-06,NV,dean heller,2011,45.9,True
376,shelley berkley,d,senate,2012-11-06,NV,dean heller,2011,44.7,False
377,bob menendez,d,senate,2012-11-06,NJ,bob menendez,2006,58.9,True
378,joe kyrillos,r,senate,2012-11-06,NJ,bob menendez,2006,39.4,False
379,ken kaplan,o,senate,2012-11-06,NJ,bob menendez,2006,0.5,False
380,ken wolski,o,senate,2012-11-06,NJ,bob menendez,2006,0.5,False
381,martin heinrich,d,senate,2012-11-06,NM,jeff bingaman,1982,51.0,True
382,heather wilson,r,senate,2012-11-06,NM,jeff bingaman,1982,45.3,False
383,jon barrie,o,senate,2012-11-06,NM,jeff bingaman,1982,3.6,False
384,kirsten gillibrand,d,senate,2012-11-06,NY,kirsten gillibrand,2009,71.6,True
385,wendy e long,r,senate,2012-11-06,NY,kirsten gillibrand,2009,27.0,False
386,colia clark,o,senate,2012-11-06,NY,kirsten gillibrand,2009,0.6,False
387,chris edes,o,senate,2012-11-06,NY,kirsten gillibrand,2009,0.5,False
388,heidi heitkamp,d,senate,2012-11-06,ND,kent conrad,1986,50.24,True
389,rick berg,r,senate,2012-11-06,ND,kent conrad,1986,49.32,False
390,sherrod brown,d,senate,2012-11-06,OH,sherrod brown,2006,50.7,True
391,josh mandel,r,senate,2012-11-06,OH,sherrod brown,2006,44.7,False
392,scott a rupert,o,senate,2012-11-06,OH,sherrod brown,2006,4.6,False
393,bob casey jr,d,senate,2012-11-06,PA,bob casey jr,2006,53.7,True
394,tom smith,r,senate,2012-11-06,PA,bob casey jr,2006,44.6,False
395,rayburn douglas smith,o,senate,2012-11-06,PA,bob casey jr,2006,1.7,False
396,sheldon whitehouse,d,senate,2012-11-06,RI,sheldon whitehouse,2006,64.8,True
397,barry hinckley,r,senate,2012-11-06,RI,sheldon whitehouse,2006,35.0,False
398,bob corker,r,senate,2012-11-06,TN,bob corker,2006,64.9,True
399,mark clayton,d,senate,2012-11-06,TN,bob corker,2006,30.4,False
400,martin pleasant,o,senate,2012-11-06,TN,bob corker,2006,1.7,False
401,dr shaun crowell,o,senate,2012-11-06,TN,bob corker,2006,0.9,False
402,kermit steck,o,senate,2012-11-06,TN,bob corker,2006,0.8,False
403,ted cruz,r,senate,2012-11-06,TX,kay bailey hutchison,1993,56.5,True
404,paul sadler,d,senate,2012-11-06,TX,kay bailey hutchison,1993,40.7,False
405,john jay myers,o,senate,2012-11-06,TX,kay bailey hutchison,1993,2.1,False
406,david collins,o,senate,2012-11-06,TX,kay bailey hutchison,1993,0.9,False
407,orrin hatch,r,senate,2012-11-06,UT,orrin hatch,1976,65.3,True
408,scott howell,d,senate,2012-11-06,UT,orrin hatch,1976,30.0,False
409,bernie sanders,o,senate,2012-11-06,VT,bernie sanders,2006,71,True
410,john macgovern,r,senate,2012-11-06,VT,bernie sanders,2006,24.9,False
411,laurel laframboise,o,senate,2012-11-06,VT,bernie sanders,2006,0.3,False
412,tim kaine,d,senate,2012-11-06,VA,jim webb,2006,52.9,True
413,george allen,r,senate,2012-11-06,VA,jim webb,2006,47.0,False
414,maria cantwell,d,senate,2012-11-06,WA,maria cantwell,2000,60.5,True
415,michael baumgartner,r,senate,2012-11-06,WA,maria cantwell,2000,39.5,False
416,joe manchin,d,senate,2012-11-06,WV,joe manchin,2010,60.6,True
417,john raese,r,senate,2012-11-06,WV,joe manchin,2010,36.5,False
418,bob henry baber,o,senate,2012-11-06,WV,joe manchin,2010,3.0,False
419,tammy baldwin,d,senate,2012-11-06,WI,herb kohl,1988,51.4,True
420,tommy thompson,r,senate,2012-11-06,WI,herb kohl,1988,45.9,False
421,joseph kexel,o,senate,2012-11-06,WI,herb kohl,1988,2.1,False
422,nimrod y u allen iii,o,senate,2012-11-06,WI,herb kohl,1988,0.6,False
423,john barrasso,r,senate,2012-11-06,WY,john barrasso,2007,75.7,True
424,tim chesnut,d,senate,2012-11-06,WY,john barrasso,2007,21.7,False
425,joel otto,o,senate,2012-11-06,WY,john barrasso,2007,2.5,False
426,ed markey,d,senate,2013-06-25,MA,mo cowan,2013,54.8,True
427,gabriel e gomez,r,senate,2013-06-25,MA,mo cowan,2013,44.8,False
428,cory booker,d,senate,2013-10-16,NJ,jeffrey chiesa,2013,54.9,True
429,steve lonegan,r,senate,2013-10-16,NJ,jeffrey chiesa,2013,44.0,False
430,scott brown,r,senate,2010-01-19,MA,paul g kirk,2009,51.9,True
431,martha coakley,d,senate,2010-01-19,MA,paul g kirk,2009,47.1,False
432,joseph l kennedy,o,senate,2010-01-19,MA,paul g kirk,2009,1.0,False
433,chris coons,d,senate,2010-11-02,DE,ted kaufman,2009,56.6,True
434,christine odonnell,r,senate,2010-11-02,DE,ted kaufman,2009,40.0,False
435,glenn miller,o,senate,2010-11-02,DE,ted kaufman,2009,2.7,False
436,james rash,o,senate,2010-11-02,DE,ted kaufman,2009,0.7,False
437,mark kirk,r,senate,2010-11-02,IL,roland burris,2009,48.2,True
438,alexi giannoulias,d,senate,2010-11-02,IL,roland burris,2009,46.3,False
439,lealan jones,o,senate,2010-11-02,IL,roland burris,2009,3.2,False
440,mike labino,o,senate,2010-11-02,IL,roland burris,2009,2.4,False
441,kirsten gillibrand,d,senate,2010-11-02,NY,kirsten gillibrand,2009,62.0,True
442,joseph dioguardi,r,senate,2010-11-02,NY,kirsten gillibrand,2009,35.8,False
443,cecile lawrence,o,senate,2010-11-02,NY,kirsten gillibrand,2009,0.8,False
444,joseph huff,o,senate,2010-11-02,NY,kirsten gillibrand,2009,0.5,False
445,joe manchin,d,senate,2010-11-02,WV,carte goodwin,2010,53.5,True
446,john raese,r,senate,2010-11-02,WV,carte goodwin,2010,43.4,False
447,jesse johnson,o,senate,2010-11-02,WV,carte goodwin,2010,1.9,False
448,jeff becker,o,senate,2010-11-02,WV,carte goodwin,2010,1.2,False
449,richard shelby,r,senate,2010-11-02,AL,richard shelby,1986,65.3,True
450,william g barnes,d,senate,2010-11-02,AL,richard shelby,1986,34.7,False
451,lisa murkowski,r,senate,2010-11-02,AK,lisa murkowski,2002,39.5,True
452,joe miller,r,senate,2010-11-02,AK,lisa murkowski,2002,35.5,False
453,scott mcadams,d,senate,2010-11-02,AK,lisa murkowski,2002,23.5,False
454,john mccain,r,senate,2010-11-02,AZ,john mccain,1986,59.2,True
455,rodney glassman,d,senate,2010-11-02,AZ,john mccain,1986,34.7,False
456,david nolan,o,senate,2010-11-02,AZ,john mccain,1986,4.7,False
457,jerry joslyn,o,senate,2010-11-02,AZ,john mccain,1986,1.4,False
458,john boozman,r,senate,2010-11-02,AR,blanche lincoln,1998,58.0,True
459,blanche lincoln,d,senate,2010-11-02,AR,blanche lincoln,1998,36.9,False
460,trevor drown,o,senate,2010-11-02,AR,blanche lincoln,1998,3.3,False
461,john gray,o,senate,2010-11-02,AR,blanche lincoln,1998,1.9,False
462,barbara boxer,d,senate,2010-11-02,CA,barbara boxer,1992,52.1,True
463,carly fiorina,r,senate,2010-11-02,CA,barbara boxer,1992,42.5,False
464,gail lightfoot,o,senate,2010-11-02,CA,barbara boxer,1992,1.8,False
465,edward noonan,o,senate,2010-11-02,CA,barbara boxer,1992,1.3,False
466,duane roberts,o,senate,2010-11-02,CA,barbara boxer,1992,1.2,False
467,michael bennet,d,senate,2010-11-02,CO,michael bennet,2009,48.1,True
468,ken buck,r,senate,2010-11-02,CO,michael bennet,2009,46.3,False
469,bob kinsey,o,senate,2010-11-02,CO,michael bennet,2009,2.2,False
470,maclyn stringer,o,senate,2010-11-02,CO,michael bennet,2009,1.3,False
471,richard blumenthal,d,senate,2010-11-02,CT,chris dodd,1980,55.1,True
472,linda mcmahon,r,senate,2010-11-02,CT,chris dodd,1980,43.3,False
473,warren mosler,o,senate,2010-11-02,CT,chris dodd,1980,1.0,False
474,john mertens,o,senate,2010-11-02,CT,chris dodd,1980,0.6,False
475,marco rubio,r,senate,2010-11-02,FL,george lemieux,2009,48.9,True
476,charlie crist,o,senate,2010-11-02,FL,george lemieux,2009,29.7,False
477,kendrick meek,d,senate,2010-11-02,FL,george lemieux,2009,20.1,False
478,alexander snitker,o,senate,2010-11-02,FL,george lemieux,2009,0.5,False
479,johnny isakson,r,senate,2010-11-02,GA,johnny isakson,2004,58.1,True
480,michael thurmond,d,senate,2010-11-02,GA,johnny isakson,2004,39.2,False
481,chuck donovan,o,senate,2010-11-02,GA,johnny isakson,2004,2.7,False
482,daniel inouye,d,senate,2010-11-02,HI,daniel inouye,1962,74.8,True
483,campbell cavasso,r,senate,2010-11-02,HI,daniel inouye,1962,21.6,False
484,james brewer,o,senate,2010-11-02,HI,daniel inouye,1962,2.1,False
485,jeff mallan,o,senate,2010-11-02,HI,daniel inouye,1962,0.8,False
486,mike crapo,r,senate,2010-11-02,ID,mike crapo,1998,71.1,True
487,tom sullivan,d,senate,2010-11-02,ID,mike crapo,1998,25.0,False
488,randy bergquist,o,senate,2010-11-02,ID,mike crapo,1998,3.9,False
489,mark kirk,r,senate,2010-11-02,IL,roland burris,2009,48.2,True
490,alexi giannoulias,d,senate,2010-11-02,IL,roland burris,2009,46.3,False
491,lealan jones,o,senate,2010-11-02,IL,roland burris,2009,3.2,False
492,mike labino,o,senate,2010-11-02,IL,roland burris,2009,2.4,False
493,dan coats,r,senate,2010-11-02,IN,evan bayh,1998,54.6,True
494,brad ellsworth,d,senate,2010-11-02,IN,evan bayh,1998,40.0,False
495,rebecca sinkburris,o,senate,2010-11-02,IN,evan bayh,1998,5.4,False
496,chuck grassley,r,senate,2010-11-02,IA,chuck grassley,1980,64.5,True
497,roxanne conlin,d,senate,2010-11-02,IA,chuck grassley,1980,33.2,False
498,john heiderscheit,o,senate,2010-11-02,IA,chuck grassley,1980,2.3,False
499,jerry moran,r,senate,2010-11-02,KS,sam brownback,1996,70.3,True
500,lisa johnston,d,senate,2010-11-02,KS,sam brownback,1996,26.2,False
501,michael dann,o,senate,2010-11-02,KS,sam brownback,1996,2.1,False
502,joe bellis,o,senate,2010-11-02,KS,sam brownback,1996,1.4,False
503,rand paul,r,senate,2010-11-02,KY,jim bunning,1998,55.8,True
504,jack conway,d,senate,2010-11-02,KY,jim bunning,1998,44.2,False
505,david vitter,r,senate,2010-11-02,LA,david vitter,2004,56.6,True
506,charles melancon,d,senate,2010-11-02,LA,david vitter,2004,37.7,False
507,randall hayes,o,senate,2010-11-02,LA,david vitter,2004,1.1,False
508,michael brown,o,senate,2010-11-02,LA,david vitter,2004,0.8,False
509,barbara mikulski,d,senate,2010-11-02,MD,barbara mikulski,1986,61.8,True
510,eric wargotz,r,senate,2010-11-02,MD,barbara mikulski,1986,36.3,False
511,kenniss henry,o,senate,2010-11-02,MD,barbara mikulski,1986,1.1,False
512,richard shawver,o,senate,2010-11-02,MD,barbara mikulski,1986,0.8,False
513,roy blunt,r,senate,2010-11-02,MO,kit bond,1986,54.3,True
514,robin carnahan,d,senate,2010-11-02,MO,kit bond,1986,40.6,False
515,jonathan dine,o,senate,2010-11-02,MO,kit bond,1986,3.0,False
516,jerry beck,o,senate,2010-11-02,MO,kit bond,1986,2.1,False
517,harry reid,d,senate,2010-11-02,NV,harry reid,1986,50.2,True
518,sharron angle,r,senate,2010-11-02,NV,harry reid,1986,44.6,False
519,scott ashjian,o,senate,2010-11-02,NV,harry reid,1986,0.8,False
520,kelly ayotte,r,senate,2010-11-02,NH,judd gregg,1992,60.2,True
521,paul hodes,d,senate,2010-11-02,NH,judd gregg,1992,36.7,False
522,chris booth,o,senate,2010-11-02,NH,judd gregg,1992,2.0,False
523,ken blevens,o,senate,2010-11-02,NH,judd gregg,1992,1.0,False
524,chuck schumer,d,senate,2010-11-02,NY,chuck schumer,1998,66.3,True
525,jay townsend,r,senate,2010-11-02,NY,chuck schumer,1998,32.2,False
526,colia clark,o,senate,2010-11-02,NY,chuck schumer,1998,1.0,False
527,randy credico,o,senate,2010-11-02,NY,chuck schumer,1998,0.6,False
528,richard burr,r,senate,2010-11-02,NC,richard burr,2004,55.0,True
529,elaine marshall,d,senate,2010-11-02,NC,richard burr,2004,42.9,False
530,mike beitler,o,senate,2010-11-02,NC,richard burr,2004,2.1,False
531,john hoeven,r,senate,2010-11-02,ND,byron dorgan,1992,76.2,True
532,tracy potter,d,senate,2010-11-02,ND,byron dorgan,1992,22.2,False
533,keith hanson,o,senate,2010-11-02,ND,byron dorgan,1992,1.6,False
534,rob portman,r,senate,2010-11-02,OH,george voinovich,1998,57.3,True
535,lee fisher,d,senate,2010-11-02,OH,george voinovich,1998,39.0,False
536,eric deaton,o,senate,2010-11-02,OH,george voinovich,1998,1.7,False
537,michael pryce,o,senate,2010-11-02,OH,george voinovich,1998,1.3,False
538,tom coburn,r,senate,2010-11-02,OK,tom coburn,2004,70.5,True
539,jim rogers,d,senate,2010-11-02,OK,tom coburn,2004,26.1,False
540,stephen wallace,o,senate,2010-11-02,OK,tom coburn,2004,2.5,False
541,ronald dwyer,o,senate,2010-11-02,OK,tom coburn,2004,0.9,False
542,ron wyden,d,senate,2010-11-02,OR,ron wyden,1996,57.2,True
543,jim huffman,r,senate,2010-11-02,OR,ron wyden,1996,39.4,False
544,marc delphine,o,senate,2010-11-02,OR,ron wyden,1996,1.1,False
545,rick staggenborg,o,senate,2010-11-02,OR,ron wyden,1996,1.0,False
546,pat toomey,r,senate,2010-11-02,PA,arlen specter,1980,51.01,True
547,joe sestak,d,senate,2010-11-02,PA,arlen specter,1980,48.99,False
548,jim demint,r,senate,2010-11-02,SC,jim demint,2004,62.4,False
549,alvin greene,d,senate,2010-11-02,SC,jim demint,2004,28.2,False
550,tom clements,o,senate,2010-11-02,SC,jim demint,2004,9.4,True
551,mike lee,r,senate,2010-11-02,UT,bob bennett,1992,61.6,True
552,sam granato,d,senate,2010-11-02,UT,bob bennett,1992,32.8,False
553,scott bradley,o,senate,2010-11-02,UT,bob bennett,1992,5.7,False
554,patrick leahy,d,senate,2010-11-02,VT,patrick leahy,1974,64.4,True
555,len britton,r,senate,2010-11-02,VT,patrick leahy,1974,30.9,False
556,daniel freilich,o,senate,2010-11-02,VT,patrick leahy,1974,1.5,False
557,cris ericson,o,senate,2010-11-02,VT,patrick leahy,1974,1.1,False
558,stephen cain,o,senate,2010-11-02,VT,patrick leahy,1974,1.0,False
559,patty murray,d,senate,2010-11-02,WA,patty murray,1992,52.4,True
560,dino rossi,r,senate,2010-11-02,WA,patty murray,1992,47.6,False
561,ron johnson,r,senate,2010-11-02,WI,russ feingold,1992,51.9,True
562,russ feingold,d,senate,2010-11-02,WI,russ feingold,1992,47.0,False
563,rob taylor,o,senate,2010-11-02,WI,russ feingold,1992,1.1,False
